report,gold,out,same,review,missing,overclaim,rejected_pairs,strict_correct,strict_total,strict_pct,lenient_correct,lenient_total,lenient_pct
old_rep_1,2,2,2,0,0,0,0,8,10,80.00,8,10,80.00
old_rep_2,7,7,5,0,2,2,0,18,45,40.00,18,45,40.00
old_rep_3,5,5,3,0,2,2,0,7,35,20.00,7,35,20.00
old_rep_4,14,13,11,0,3,2,0,42,80,52.50,42,80,52.50
old_rep_5,5,5,1,0,4,4,4,2,45,4.44,2,45,4.44
table_1,39,40,20,1,18,19,13,79,295,26.78,83,290,28.62
table_2,13,11,10,0,3,1,1,50,70,71.43,50,70,71.43
table_3,11,11,2,0,9,9,9,8,100,8.00,8,100,8.00
table_4,28,29,13,0,15,16,9,45,220,20.45,45,220,20.45
table_5,11,32,6,0,5,26,2,23,185,12.43,23,185,12.43
ocr_1,1,1,1,0,0,0,0,0,5,0.00,0,5,0.00
ocr_2,8,8,8,0,0,0,0,32,40,80.00,32,40,80.00
ocr_3,1,2,0,0,1,2,0,0,15,0.00,0,15,0.00
ocr_4,9,16,8,1,0,7,0,21,85,24.71,22,80,27.50
ocr_5,2,10,2,0,0,8,0,5,50,10.00,5,50,10.00
new_rep_1,11,29,9,0,2,20,0,26,155,16.77,26,155,16.77
new_rep_2,55,65,36,0,19,29,13,130,420,30.95,130,420,30.95
new_rep_3,6,6,6,0,0,0,0,18,30,60.00,18,30,60.00
new_rep_4,5,8,5,0,0,3,0,19,40,47.50,19,40,47.50
new_rep_5,8,18,6,0,2,12,2,21,100,21.00,21,100,21.00
TOTAL_strict,241,,154,2,85,162,,554,2025,27.36,,,
TOTAL_lenient,241,,154,2,85,162,,559,2015,27.74,,,
