report,gold,out,same,review,missing,overclaim,rejected_pairs,strict_correct,strict_total,strict_pct,lenient_correct,lenient_total,lenient_pct
old_rep_1,2,2,0,0,2,2,0,0,20,0.00,0,20,0.00
old_rep_2,7,6,6,0,1,0,0,28,35,80.00,28,35,80.00
old_rep_3,5,2,2,0,3,0,0,9,25,36.00,9,25,36.00
old_rep_4,14,14,12,0,2,2,0,56,80,70.00,56,80,70.00
old_rep_5,5,5,5,0,0,0,0,25,25,100.00,25,25,100.00
table_1,39,39,38,0,1,1,0,188,200,94.00,188,200,94.00
table_2,13,8,7,0,6,1,1,33,70,47.14,33,70,47.14
table_3,11,11,11,0,0,0,0,55,55,100.00,55,55,100.00
table_4,28,18,18,0,10,0,0,90,140,64.29,90,140,64.29
table_5,11,12,7,0,4,5,0,34,80,42.50,34,80,42.50
ocr_1,1,1,1,0,0,0,0,2,5,40.00,2,5,40.00
ocr_2,8,8,8,0,0,0,0,40,40,100.00,40,40,100.00
ocr_3,1,0,0,0,1,0,0,0,5,0.00,0,5,0.00
ocr_4,9,9,9,0,0,0,0,45,45,100.00,45,45,100.00
ocr_5,2,2,1,0,1,1,0,5,15,33.33,5,15,33.33
new_rep_1,11,10,0,0,11,10,0,0,105,0.00,0,105,0.00
new_rep_2,55,53,48,3,4,2,0,227,300,75.67,242,285,84.91
new_rep_3,6,6,6,0,0,0,0,30,30,100.00,30,30,100.00
new_rep_4,5,3,3,0,2,0,0,15,25,60.00,15,25,60.00
new_rep_5,8,3,1,0,7,2,0,5,50,10.00,5,50,10.00
TOTAL_strict,241,,183,3,55,26,,887,1350,65.70,,,
TOTAL_lenient,241,,183,3,55,26,,902,1335,67.57,,,
