report,gold,out,same,review,missing,overclaim,rejected_pairs,strict_correct,strict_total,strict_pct,lenient_correct,lenient_total,lenient_pct
old_rep_1,2,2,2,0,0,0,0,9,10,90.00,9,10,90.00
old_rep_2,7,6,6,0,1,0,0,29,35,82.86,29,35,82.86
old_rep_3,5,4,4,0,1,0,0,16,25,64.00,16,25,64.00
old_rep_4,14,14,13,1,0,0,0,63,75,84.00,66,70,94.29
old_rep_5,5,5,5,0,0,0,0,25,25,100.00,25,25,100.00
table_1,39,39,31,0,8,8,0,154,235,65.53,154,235,65.53
table_2,13,13,9,0,4,4,0,44,85,51.76,44,85,51.76
table_3,11,11,11,0,0,0,0,55,55,100.00,55,55,100.00
table_4,28,27,27,0,1,0,0,135,140,96.43,135,140,96.43
table_5,11,11,8,0,3,3,0,36,70,51.43,36,70,51.43
ocr_1,1,1,1,0,0,0,0,5,5,100.00,5,5,100.00
ocr_2,8,8,8,0,0,0,0,40,40,100.00,40,40,100.00
ocr_3,1,1,0,0,1,1,0,0,10,0.00,0,10,0.00
ocr_4,9,9,9,0,0,0,0,45,45,100.00,45,45,100.00
ocr_5,2,2,2,0,0,0,0,9,10,90.00,9,10,90.00
new_rep_1,11,11,11,0,0,0,0,55,55,100.00,55,55,100.00
new_rep_2,55,56,55,0,0,1,0,275,280,98.21,275,280,98.21
new_rep_3,6,6,6,0,0,0,0,30,30,100.00,30,30,100.00
new_rep_4,5,6,5,0,0,1,0,25,30,83.33,25,30,83.33
new_rep_5,8,8,8,0,0,0,0,37,40,92.50,37,40,92.50
TOTAL_strict,241,,221,1,19,18,,1087,1300,83.62,,,
TOTAL_lenient,241,,221,1,19,18,,1090,1295,84.17,,,
